Date Of Test,Signal (dBm),Speed (m/s),Distance from site (m),Call Test Duration (s),Call Test Result,Call Test Technology,Call Test Setup Time (s),MOS
2017-07-01 10:05:54,-107,0,810.79,90,1,2,0.49,4.3
2017-07-01 10:08:26,-107,0,811.13,90,1,2,0.46,4.3
2017-07-01 10:10:05,-99,0,1086.05,60,1,1,3.28,4.4
2017-07-01 10:10:58,-107,0,811.11,90,1,2,0.41,4.4
2017-07-01 10:11:58,-73,0,552.74,60,1,1,3.45,3.6
2017-07-01 10:13:30,-107,0,811.27,90,1,2,0.42,4.3
2017-07-01 10:16:03,-107,0,811.82,90,1,2,0.38,4.3
2017-07-01 10:18:32,-65,0,551.25,60,1,1,3.74,2.4
2017-07-01 10:18:35,-107,0,812.81,90,1,2,0.63,4.3
2017-07-01 10:21:07,-107,0,813.14,90,1,2,0.45,4.4
2017-07-01 10:23:40,-107,0,813.32,90,1,2,0.44,4.4
2017-07-01 10:26:12,-107,0,813.47,90,1,2,0.5,4.4
2017-07-01 10:28:44,-105,0,813.85,90,1,2,0.49,4.4
2017-07-01 10:31:16,-107,0,813.94,90,1,2,0.44,4.3
2017-07-01 10:33:48,-107,0,814.1,90,1,2,0.41,4.3
2017-07-01 10:33:53,-99,0,961.02,60,1,1,3.54,1
2017-07-01 10:36:21,-107,0,814.02,90,1,2,0.45,4.4
2017-07-01 10:38:45,-140,11.68000031,4083.65,289.23,0,2,0,4
2017-07-01 10:38:53,-107,0,814.22,90,1,2,0.48,4.3
2017-07-01 10:41:25,-107,0,814.61,90,1,2,0.45,4.4
2017-07-01 10:43:57,-107,0,815.16,90,1,2,0.4,4.3
2017-07-01 10:45:09,-99,0,950.3,60,1,1,3.37,1
2017-07-01 10:46:29,-111,18.40999985,11026.39,237.22,0,0,0,2.3
2017-07-01 10:46:30,-107,0,815.79,90,1,2,0.4,4.3
2017-07-01 10:49:02,-107,0,816,90,1,2,0.45,4.4
2017-07-01 10:51:34,-107,0,816.08,90,1,2,0.41,4.4
2017-07-01 10:56:38,-107,0,816.32,90,1,2,0.42,4.4
2017-07-01 10:58:06,-130,13.72000027,9879.93,40.83,0,2,0,4.3
2017-07-01 10:59:11,-107,0,816.51,90,1,2,0.43,4.3
2017-07-01 11:01:43,-107,0,816.55,90,1,2,0.39,4.3
2017-07-01 11:04:16,-107,0,816.79,90,1,2,0.48,4.4
2017-07-01 11:06:48,-107,0,817.06,90,1,2,0.51,4.4
2017-07-01 11:08:01,-95,0,955.5,60,1,1,3.4,1
2017-07-01 11:09:25,-107,0,817.21,90,1,2,0.39,4.4
2017-07-01 11:11:57,-107,0,817.22,90,1,2,0.54,4.4
2017-07-01 11:14:22,-73,21.78000069,726.12,600,1,1,0,1.8
2017-07-01 11:14:29,-107,0,817.85,90,1,2,0.52,4.4
2017-07-01 11:17:01,-107,0,818.37,90,1,2,0.42,4.4
2017-07-01 11:19:34,-107,0,818.49,90,1,2,0.45,4.3
2017-07-01 11:22:06,-107,0,818.77,90,1,2,0.48,4.4
2017-07-01 11:24:38,-107,0,818.89,90,1,2,0.41,4.3
2017-07-01 11:25:04,-71,19.34000015,685.43,600,1,0,0,2.5
2017-07-01 11:27:10,-107,0,819.14,90,1,2,0.44,4.4
2017-07-01 11:29:42,-107,0,819.24,90,1,2,0.52,4.3
2017-07-01 11:32:15,-107,0,819.65,90,1,2,0.5,4.4
2017-07-01 11:34:47,-107,0,819.86,90,1,2,0.4,4.3
2017-07-01 11:35:27,-85,21.70000076,728.97,600,1,1,0,3.4
2017-07-01 11:37:19,-107,0,819.97,90,1,2,0.47,4.3
2017-07-01 11:39:52,-107,0,820.44,90,1,2,0.43,4.3
2017-07-01 11:44:56,-107,0,821.21,90,1,2,0.45,4.3
2017-07-01 11:46:08,-81,30.02000046,754.58,600,1,1,0,2
2017-07-01 11:47:28,-107,0,821.34,90,1,2,0.38,4.3
2017-07-01 11:50:01,-107,0,821.44,90,1,2,0.45,4.3
2017-07-01 11:52:33,-107,0,821.65,90,1,2,0.44,4.3
2017-07-01 11:55:05,-107,0,821.66,90,1,2,0.42,4.4
2017-07-01 11:57:38,-107,0,821.73,90,1,2,0.5,4.3
2017-07-01 12:00:10,-107,0,821.8,90,1,2,0.44,4.4
2017-07-01 12:02:42,-107,0,821.92,90,1,2,0.47,4.3
2017-07-01 12:05:14,-107,0,821.93,90,1,2,0.46,4.3
2017-07-01 12:07:07,-79,30.46999931,3903.35,600,1,1,0,2.1
2017-07-01 12:07:46,-107,0,821.98,90,1,2,0.47,4.3
2017-07-01 12:10:18,-107,0,822.09,90,1,2,0.44,4.3
2017-07-01 12:12:50,-107,0,822.17,90,1,2,0.43,4.3
2017-07-01 12:15:22,-107,0,822.29,90,1,2,0.48,4.3
2017-07-01 12:17:55,-107,0,822.35,90,1,2,0.47,4.3
2017-07-01 12:18:04,-77,25.67000008,991.82,600,1,1,0,1.4
2017-07-01 12:20:27,-107,0,822.49,90,1,2,0.39,4.3
2017-07-01 12:22:59,-107,0,822.55,90,1,2,0.46,4.3
2017-07-01 12:25:32,-107,0,822.71,90,1,2,0.4,4.3
2017-07-01 12:28:04,-107,0,822.74,90,1,2,0.43,4.3
2017-07-01 12:28:27,-95,29.89999962,4685.49,600,1,0,0,2.1
2017-07-01 12:30:36,-107,0,822.86,90,1,2,0.48,4.3
2017-07-01 12:33:08,-107,0,822.87,90,1,2,0.39,4.3
2017-07-01 12:35:40,-107,0,822.91,90,1,2,0.4,4.3
2017-07-01 12:38:13,-107,0,822.94,90,1,2,0.47,4.3
2017-07-01 12:38:48,-100,29.95999908,4611.36,599.31,1,2,0,4.2
2017-07-01 12:40:45,-107,0,823.05,90,1,2,0.44,4.3
2017-07-01 12:43:17,-107,0,823.21,90,1,2,0.4,4.3
2017-07-01 12:45:49,-107,0,823.33,90,1,2,0.42,4.4
2017-07-01 12:48:21,-107,0,823.45,90,1,2,0.43,4.3
2017-07-01 12:49:12,-103,8.43999958,872.59,599.55,1,2,0,4.4
2017-07-01 12:50:53,-107,0,823.53,80.44,1,2,0.71,4.3
2017-07-01 12:53:25,-107,0,823.63,90,1,2,0.43,4.3
2017-07-01 12:55:58,-107,0,823.71,90,1,2,0.52,4.3
2017-07-01 12:58:30,-107,0,823.98,90,1,2,0.41,4.3
2017-07-01 12:59:35,-79,29.88999939,334.69,600,1,2,0,4.4
2017-07-01 13:01:03,-107,0,824.07,90,1,2,0.45,4.3
2017-07-01 13:03:35,-107,0,824.13,90,1,2,0.4,4.3
2017-07-01 13:06:07,-107,0,824.15,90,1,2,0.42,4.3
2017-07-01 13:08:39,-107,0,824.16,90,1,2,0.39,4.3
2017-07-01 13:11:11,-107,0,824.22,90,1,2,0.49,4.3
2017-07-01 13:13:44,-107,0,824.22,90,1,2,0.38,4.3
2017-07-01 13:16:16,-107,0,824.2,90,1,2,0.45,4.3
2017-07-01 13:18:48,-107,0,824.19,90,1,2,0.47,4.3
2017-07-01 13:20:40,-81,29.96999931,13400.4,600,1,1,0,2.5
2017-07-01 13:21:20,-107,0,824.22,90,1,2,0.46,4.3
2017-07-01 13:23:52,-107,0,824.27,90,1,2,0.41,4.3
2017-07-01 13:26:24,-107,0,824.4,90,1,2,0.44,4.3
2017-07-01 13:28:56,-107,0,824.38,90,1,2,0.42,4.3
